  From number    To number  From name           To name             ID      In service    R (pu)    X (pu)    Tap ratio (pu)    Capacity (MVA)
         3044         3045  BVI_B218_13.800     BVI_B528_138.00     1                1    0.0000    0.6192            0.9531           25.0000
         3045         3050  BVI_B528_138.00     BVI_B219_13.800     1                1    0.0000    0.6092            0.9531           25.0000
         3046         3047  CCE_B330_34.500     CCE_B565_138.00     1                1    0.0000    0.4953            0.9906           25.0000
         3048         3049  CHM_B239_13.800     CHM_B539_138.00     1                1    0.0000    0.3227            0.9812           50.0000
         3049         3604  CHM_B539_138.00     CHM_13.8_13.800     1                1    0.0000    0.3326            0.9812           25.0000
         3051         3052  CIR_B221_13.800     CIR_B537_138.00     1                1    0.0000    0.3130            0.9344           50.0000
         3052         3137  CIR_B537_138.00     CIR_B222_13.800     1                1    0.0000    0.3260            0.9719           50.0000
         3053         3125  CRL_B301_34.500     RBL_U01_4.1600      1                1    0.0000    1.3333            1.0000            7.5000
         3053         3156  CRL_B301_34.500     NIV_U01_0.4800      1                1    0.0000    4.0000            1.0000            2.5000
         3053         3163  CRL_B301_34.500     CPA_U01_4.1600      1                1    0.0000    2.2222            1.0000            4.5000
         3053         3165  CRL_B301_34.500     PEB_U01_4.1600      1                1    0.0000    6.6667            1.0000            1.5000
         3053         3296  CRL_B301_34.500     AGV_0.4800          1                1    0.0000    6.6667            1.0000            1.5000
         3056         3060  CYG_B316_34.500     CYG_B536_138.00     1                1    0.0000    0.3167            0.9438           50.0000
         3056         3093  CYG_B316_34.500     LOS_PLANES_0.4000   1                1    0.0000    0.0900            1.0000            3.0000
         3056         3162  CYG_B316_34.500     LES_U01_4.1600      1                1    0.0000    0.6667            1.0000           15.0000
         3056         3169  CYG_B316_34.500     CYR_U01_4.1600      1                1    0.0000    4.0000            1.0000            2.5000
         3056         3329  CYG_B316_34.500     CORRAL_DE_PI0.7000  1                1    0.0000    1.6441            1.0000            3.2000
         3056         3332  CYG_B316_34.500     SAN_ALEJO_4.2000    1                1    0.0000    1.5742            1.0000            3.0000
         3056         3566  CYG_B316_34.500     AUR_4.16KV_4.1600   1                1    0.0000    1.8461            1.0000            6.5000
